,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan Parlimen,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
353,UPKO,Marcus Mojigoh,13816,7832.0,2004,Sabah,PUTATAN,173,Menang,19800,69.77777777777777,34123,0,24,0,0,63,13,0
354,PKR,Awang Ahmad Sah,5984,0.0,2004,Sabah,PUTATAN,173,Kalah,19800,30.22222222222222,34123,0,24,0,0,63,13,0
355,UPKO,Donald Peter Mojuntin,16032,12707.0,2004,Sabah,PENAMPANG,174,Menang,21244,75.46601393334589,32832,0,33,0,0,11,55,0
356,DAP,Jomilon Mojountin,3325,0.0,2004,Sabah,PENAMPANG,174,Kalah,21244,15.651478064394652,32832,0,33,0,0,11,55,0
357,IND,Joseph Sulaiman,960,0.0,2004,Sabah,PENAMPANG,174,Kalah,21244,4.518922990020712,32832,0,33,0,0,11,55,0
358,PKR,Blaise Mosidin,927,0.0,2004,Sabah,PENAMPANG,174,Kalah,21244,4.36358501223875,32832,0,33,0,0,11,55,0
359,UMNO,Rosnah Abdul Rashid Shirlin,0,0.0,2004,Sabah,PAPAR,175,Menang,0,0.0,31275,0,12,0,0,63,25,0
360,UMNO,Anifah Aman,9655,5108.0,2004,Sabah,KIMANIS,176,Menang,14202,67.98338262216589,21576,0,7,0,0,68,25,0
361,PKR,Awang Tengah Awang Amin,4547,0.0,2004,Sabah,KIMANIS,176,Kalah,14202,32.01661737783411,21576,0,7,0,0,68,25,0
362,UMNO,Azizah Mohd Dun,0,0.0,2004,Sabah,BEAUFORT,177,Menang,0,0.0,26461,0,12,0,0,63,26,0
363,UMNO,Yusof Yacob,0,0.0,2004,Sabah,SIPITANG,178,Menang,0,0.0,23542,0,5,0,0,81,14,0
364,UPKO,Bernard Giluk Dompok,7547,1387.0,2004,Sabah,RANAU,179,Menang,18626,40.51862987222162,27986,0,3,0,0,39,58,0
365,IND,Ruhimin Adzim,6160,0.0,2004,Sabah,RANAU,179,Kalah,18626,33.072049822828305,27986,0,3,0,0,39,58,0
366,IND,Karim Adam,3310,0.0,2004,Sabah,RANAU,179,Kalah,18626,17.77085794051326,27986,0,3,0,0,39,58,0
367,IND,Japiril Suhaimin,1609,0.0,2004,Sabah,RANAU,179,Kalah,18626,8.638462364436808,27986,0,3,0,0,39,58,0
368,PBS,Joseph Pairin Kitingan,0,0.0,2004,Sabah,KENINGAU,180,Menang,0,0.0,34510,0,11,0,0,24,65,0
369,UMNO,Raime Unggi,8032,2404.0,2004,Sabah,TENOM,181,Menang,13660,58.79941434846266,20417,0,17,0,0,25,57,0
370,IND,Laimun Laikin,5628,0.0,2004,Sabah,TENOM,181,Kalah,13660,41.20058565153734,20417,0,17,0,0,25,57,0
371,PBRS,Bernard S Maraat,5880,608.0,2004,Sabah,PENSIANGAN,182,Menang,11709,50.21778119395337,18075,0,2,0,0,12,85,0
372,IND,Martin Tommy,5272,0.0,2004,Sabah,PENSIANGAN,182,Kalah,11709,45.02519429498676,18075,0,2,0,0,12,85,0
373,SETIA,Razali Suffian Koroh,557,0.0,2004,Sabah,PENSIANGAN,182,Kalah,11709,4.757024511059869,18075,0,2,0,0,12,85,0
374,UMNO,Ronald Kiandee,0,0.0,2004,Sabah,BELURAN,183,Menang,0,0.0,18960,0,2,0,0,61,37,0
375,UMNO,Juslie Ajirol,13140,10669.0,2004,Sabah,LIBARAN,184,Menang,15611,84.17141759016079,26888,0,23,0,0,72,5,0
376,PKR,Raj Munni Sabu,2471,0.0,2004,Sabah,LIBARAN,184,Kalah,15611,15.828582409839216,26888,0,23,0,0,72,5,0
377,PBS,Edmund Chong Ket Wah,0,0.0,2004,Sabah,BATU SAPI,185,Menang,0,0.0,26504,0,37,0,0,60,2,0
378,IND,Chong Hon Min,9538,1330.0,2004,Sabah,SANDAKAN,186,Menang,18289,52.15156651539176,33208,0,61,0,0,35,4,0
