,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
39,PAS,NANYAN SAAD,5973,0,2004,Kedah,BUKIT KAYU HITAM,006-005,Kalah,18918,31.57310498,23463,88,9,2,1,0,0,0
40,UMNO,PROF DATUK DR OTHMAN ISHAK,13297,5756,2004,Kedah,JITRA,006-006,Menang,20838,63.81130627,26131,81,12,6,1,0,0,0
41,PAS,DR ROHANI ABDUL MUTTALIB,7541,0,2004,Kedah,JITRA,006-006,Kalah,20838,36.18869373,26131,81,12,6,1,0,0,0
42,UMNO,DATUK DR AFFIFUDDIN OMAR,7746,1310,2004,Kedah,KUALA NERANG,007-007,Menang,14182,54.61853053,16766,96,2,1,1,0,0,0
43,PAS,MUHD YUSOFF @MUNIR B ZAKARIA,6436,0,2004,Kedah,KUALA NERANG,007-007,Kalah,14182,45.38146947,16766,96,2,1,1,0,0,0
44,UMNO,DATUK MAHDZIR KHALID,7684,1899,2004,Kedah,PEDU,007-008,Menang,13469,57.04952112,15646,87,1,1,11,0,0,0
45,PAS,WAN JAAFAR WAN AHMAD,5785,0,2004,Kedah,PEDU,007-008,Kalah,13469,42.95047888,15646,87,1,1,11,0,0,0
46,UMNO,ARIFFIN MAN,10656,2769,2004,Kedah,BUKIT LADA,008-009,Menang,18543,57.46642938,22201,88,9,2,1,0,0,0
47,PAS,SHIEKH ISMAIL KHAMIS,7887,0,2004,Kedah,BUKIT LADA,008-009,Kalah,18543,42.53357062,22201,88,9,2,1,0,0,0
48,PAS,MD ROSHIDI OSMAN,9636,937,2004,Kedah,BUKIT PINANG,008-010,Menang,18335,52.55522225,22617,92,7,1,0,0,0,0
49,UMNO,DATUK AHMAD LEBAI SUDIN,8699,0,2004,Kedah,BUKIT PINANG,008-010,Kalah,18335,47.44477775,22617,92,7,1,0,0,0,0
50,GERAKAN,CHEUNG KHAI YEUN,10827,6162,2004,Kedah,DERGA,008-011,Menang,15492,69.88768397,21254,53,42,5,0,0,0,0
51,PKR,ROHANI BAKAR,4665,0,2004,Kedah,DERGA,008-011,Kalah,15492,30.11231603,21254,53,42,5,0,0,0,0
52,UMNO,DATUK AHMAD BASHAH MD HANIPAH,11091,6037,2004,Kedah,BAKAR BATA,009-012,Menang,16145,68.69619077,21617,65,28,6,0,0,0,0
