,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
1253,PAS,MUHAMAD MUSTAFA,11547,4799,2008,Kelantan,DEMIT,024-019,Menang,18295,63.11560536,22141,98,2,0,0,0,0,0
1254,UMNO,DATUK MUHAMAD AB GHANI,6748,0,2008,Kelantan,DEMIT,024-019,Kalah,18295,36.88439464,22141,98,2,0,0,0,0,0
1255,PAS,HASSAN MOHAMOOD,11068,3278,2008,Kelantan,TAWANG,025-020,Menang,18858,58.69127161,22167,99,1,0,0,0,0,0
1256,UMNO,DATUK IBRAHIM MAT DIN,7790,0,2008,Kelantan,TAWANG,025-020,Kalah,18858,41.30872839,22167,99,1,0,0,0,0,0
1257,PAS,OMAR MOHAMMED,9505,1270,2008,Kelantan,PERUPOK,025-021,Menang,17740,53.5794814,21017,98,2,0,1,0,0,0
1258,UMNO,DATUK DR AWANG ADEK HUSSAIN,8235,0,2008,Kelantan,PERUPOK,025-021,Kalah,17740,46.4205186,21017,98,2,0,1,0,0,0
1259,PAS,ABDUL AZIZ KADIR,9729,1224,2008,Kelantan,JELAWAT,025-022,Menang,18234,53.35636723,21624,96,1,0,3,0,0,0
1260,UMNO,ILIAS HUSAIN,8505,0,2008,Kelantan,JELAWAT,025-022,Kalah,18234,46.64363277,21624,96,1,0,3,0,0,0
1261,PAS,WAN ISMAIL WAN JUSOH,8390,1616,2008,Kelantan,MELOR,026-023,Menang,15164,55.32840939,18607,97,2,0,1,0,0,0
1262,UMNO,AZMI ISHAK,6774,0,2008,Kelantan,MELOR,026-023,Kalah,15164,44.67159061,18607,97,2,0,1,0,0,0
1263,PAS,AZAMI MOHD NOOR,6972,1803,2008,Kelantan,KADOK,026-024,Menang,12141,57.42525327,14436,98,2,0,0,0,0,0
1264,UMNO,ROSLAN AB HAMID,5169,0,2008,Kelantan,KADOK,026-024,Kalah,12141,42.57474673,14436,98,2,0,0,0,0,0
1265,UMNO,DATUK ALWI CHE AHMAD,8319,580,2008,Kelantan,KOK LANAS,026-025,Menang,16058,51.80595342,19197,96,2,0,2,0,0,0
1266,PAS,AHMAD ROSLI IBRAHIM,7739,0,2008,Kelantan,KOK LANAS,026-025,Kalah,16058,48.19404658,19197,96,2,0,2,0,0,0
1267,PAS,ABDUL FATTAH MAHMOOD,10129,4183,2008,Kelantan,BUKIT PANAU,027-026,Menang,16075,63.01088647,20442,90,9,0,1,0,0,0
1268,UMNO,NIK KAMARUZAMAN SULONG,5946,0,2008,Kelantan,BUKIT PANAU,027-026,Kalah,16075,36.98911353,20442,90,9,0,1,0,0,0
1269,PAS,WAN YUSOFF WAN MUSTAFA,6073,1663,2008,Kelantan,GUAL IPOH,027-027,Menang,10483,57.93188973,12955,96,1,2,0,0,0,0
1270,UMNO,DATUK HASHIM SHAFIN,4410,0,2008,Kelantan,GUAL IPOH,027-027,Kalah,10483,42.06811027,12955,96,1,2,0,0,0,0
1271,PAS,MD ANIZAM ABDUL RAHMAN,5481,1932,2008,Kelantan,KEMAHANG,027-028,Menang,9030,60.69767442,10950,99,0,0,1,0,0,0
1272,UMNO,ZIANON ABDIN ALI,3549,0,2008,Kelantan,KEMAHANG,027-028,Kalah,9030,39.30232558,10950,99,0,0,1,0,0,0
1273,PAS,DR SAIPUL BAHRIN MOHAMAD,6737,783,2008,Kelantan,SELISING,028-029,Menang,12691,53.08486329,15458,99,1,0,0,0,0,0
1274,UMNO,HASHIM ISMAIL,5954,0,2008,Kelantan,SELISING,028-029,Kalah,12691,46.91513671,15458,99,1,0,0,0,0,0
1275,PAS,DR ZAINUDDIN AWANG HAMAT,8622,1633,2008,Kelantan,LIMBONGAN,028-030,Menang,15611,55.23028634,19519,96,3,0,0,0,0,0
1276,UMNO,DATUK CHE MIN CHE AMAT,6989,0,2008,Kelantan,LIMBONGAN,028-030,Kalah,15611,44.76971366,19519,96,3,0,0,0,0,0
1277,PAS,WAN HASSAN WAN IBRAHIM,6943,831,2008,Kelantan,SEMERAK,028-031,Menang,13055,53.18268863,15584,98,1,0,2,0,0,0
1278,UMNO,DATUK KAMARUDDIN MD NOR,6112,0,2008,Kelantan,SEMERAK,028-031,Kalah,13055,46.81731137,15584,98,1,0,2,0,0,0
1279,PAS,DR NIK MAZIAN NIK MOHAMAD,5941,323,2008,Kelantan,GAAL,028-032,Menang,11559,51.39717969,13832,99,0,0,1,0,0,0
1280,UMNO,TUAN MUSTAFFA TUAN MAT,5618,0,2008,Kelantan,GAAL,028-032,Kalah,11559,48.60282031,13832,99,0,0,1,0,0,0
1281,PAS,ZULKIFLI MAMAT,7205,1535,2008,Kelantan,PULAI CHONDONG,029-033,Menang,12875,55.96116505,15425,96,4,0,0,0,0,0
1282,UMNO,DR ASRI MEJAH,5670,0,2008,Kelantan,PULAI CHONDONG,029-033,Kalah,12875,44.03883495,15425,96,4,0,0,0,0,0
1283,PAS,DR MOHD FADZLI HASSAN,7120,1239,2008,Kelantan,TEMANGAN,029-034,Menang,13001,54.76501808,15474,94,6,1,0,0,0,0
1284,UMNO,RAHIMAH MAHAMAD,5881,0,2008,Kelantan,TEMANGAN,029-034,Kalah,13001,45.23498192,15474,94,6,1,0,0,0,0
1285,PAS,WAN AHMAD LUTFI WAN SULAIMAN,8003,916,2008,Kelantan,KEMUNING,029-035,Menang,15090,53.0351226,18258,96,3,0,0,0,0,0
1286,UMNO,AHMAD JAZLAN YAAKUB,7087,0,2008,Kelantan,KEMUNING,029-035,Kalah,15090,46.9648774,18258,96,3,0,0,0,0,0
1287,UMNO,MOHD ADHAN KECHIK,5731,348,2008,Kelantan,BUKIT BUNGA,030-036,Menang,11114,51.56559295,13935,99,0,0,0,0,0,0
1288,PAS,SUFELY ABDUL RAZAK,5383,0,2008,Kelantan,BUKIT BUNGA,030-036,Kalah,11114,48.43440705,13935,99,0,0,0,0,0,0
1289,PAS,ABDULLAH YA'KUB,5690,795,2008,Kelantan,AIR LANAS,030-037,Menang,10585,53.75531412,12607,98,0,0,1,0,0,0
1290,UMNO,DR AZMI SETAPA,4895,0,2008,Kelantan,AIR LANAS,030-037,Kalah,10585,46.24468588,12607,98,0,0,1,0,0,0
1291,UMNO,ABD AZIZ DERASHID,4772,1381,2008,Kelantan,KUALA BALAH,030-038,Menang,8163,58.45889991,9756,99,0,0,1,0,0,0
1292,PKR,MAT SULAIMAN DAUD,3391,0,2008,Kelantan,KUALA BALAH,030-038,Kalah,8163,41.54110009,9756,99,0,0,1,0,0,0
1293,PAS,ABDUL LATIFF ABDUL RAHMAN,7007,1903,2008,Kelantan,MENGKEBANG,031-039,Menang,12111,57.8564941,14422,96,2,2,0,0,0,0
1294,UMNO,AZIZZUDDIN HUSSEIN,5104,0,2008,Kelantan,MENGKEBANG,031-039,Kalah,12111,42.1435059,14422,96,2,2,0,0,0,0
1295,PKR,TUAN ZAMRI ARIF TUAN ZAKARIA,6784,1000,2008,Kelantan,GUCHIL,031-040,Menang,12568,53.97835773,16829,83,13,3,0,0,0,0
1296,UMNO,DR SHAMSHUL IKHWAN ASHAARI AZMI,5784,0,2008,Kelantan,GUCHIL,031-040,Kalah,12568,46.02164227,16829,83,13,3,0,0,0,0
1297,PAS,ISMAIL YAACOB,5746,1352,2008,Kelantan,MANEK URAI,031-041,Menang,10140,56.66666667,12292,99,0,0,0,0,0,0
1298,UMNO,ZULKEPLI OMAR,4394,0,2008,Kelantan,MANEK URAI,031-041,Kalah,10140,43.33333333,12292,99,0,0,0,0,0,0
1299,PAS,ARIFABILLAH @ MOHD ASRI IBRAHIM,3906,552,2008,Kelantan,DABONG,031-042,Menang,7260,53.80165289,8707,99,0,1,0,0,0,0
1300,UMNO,DATUK RAMZI ABDUL RAHMAN,3354,0,2008,Kelantan,DABONG,031-042,Kalah,7260,46.19834711,8707,99,0,1,0,0,0,0
1301,UMNO,MAT YUSOFF ABDUL GHANI,4543,2090,2008,Kelantan,NENGGIRI,032-043,Menang,6996,64.93710692,8611,86,0,0,14,0,0,0
1302,PKR,MOHD ZUKI IBRAHIM,2453,0,2008,Kelantan,NENGGIRI,032-043,Kalah,6996,35.06289308,8611,86,0,0,14,0,0,0
1303,UMNO,DATUK NOZULA MAT DIAH,5697,2833,2008,Kelantan,PALOH,032-044,Menang,8561,66.54596426,10045,99,0,0,1,0,0,0
1304,PKR,REIZAL ABDUL RAHIM,2864,0,2008,Kelantan,PALOH,032-044,Kalah,8561,33.45403574,10045,99,0,0,1,0,0,0
1305,PAS,CHEK HASHIM SULAIMA,4399,646,2008,Kelantan,GALAS,032-045,Menang,8152,53.96221786,10330,65,22,2,11,0,0,0
1306,UMNO,SAUFI DERAMAN,3753,0,2008,Kelantan,GALAS,032-045,Kalah,8152,46.03778214,10330,65,22,2,11,0,0,0
1307,UMNO,DR A RAHMAN MOKHTAR,7123,2631,2008,Terengganu,KUALA BESUT,033-001,Menang,11615,61.32587172,14180,98,1,0,0,0,0,0
1308,PAS,NIK MUHAMMAD ZAWAWI SALLEH,4492,0,2008,Terengganu,KUALA BESUT,033-001,Kalah,11615,38.67412828,14180,98,1,0,0,0,0,0
1309,UMNO,MUHAMMAD PEHIMI YUSOF,8090,3332,2008,Terengganu,KOTA PUTERA,033-002,Menang,12848,62.96699875,15559,98,1,0,0,0,0,0
1310,PKR,MOHD MD AMIN,4758,0,2008,Terengganu,KOTA PUTERA,033-002,Kalah,12848,37.03300125,15559,98,1,0,0,0,0,0
1311,UMNO,DATUK SERI IDRIS JUSOH,7912,3046,2008,Terengganu,JERTIH,033-003,Menang,12778,61.91892315,15449,95,4,0,0,0,0,0
1312,PAS,MUHAMMAD HASSAN SALLEH,4866,0,2008,Terengganu,JERTIH,033-003,Kalah,12778,38.08107685,15449,95,4,0,0,0,0,0
1313,UMNO,NAWI MOHAMAD,6740,2453,2008,Terengganu,HULU BESUT,033-004,Menang,11027,61.12269883,13165,98,1,0,0,0,0,0
1314,PAS,MOHD ZAIN HASSAN,4287,0,2008,Terengganu,HULU BESUT,033-004,Kalah,11027,38.87730117,13165,98,1,0,0,0,0,0
1315,UMNO,RAMLAN ALI,6364,804,2008,Terengganu,JABI,034-005,Menang,11924,53.3713519,14070,99,1,0,0,0,0,0
1316,PAS,DR AZMAN IBRAHIM,5560,0,2008,Terengganu,JABI,034-005,Kalah,11924,46.6286481,14070,99,1,0,0,0,0,0
1317,UMNO,ABD HALIM JUSOH,8652,3639,2008,Terengganu,PERMAISURI,034-006,Menang,13665,63.31503842,16073,99,1,0,0,0,0,0
1318,PKR,WAN RAHIM WAN HAMZAH,5013,0,2008,Terengganu,PERMAISURI,034-006,Kalah,13665,36.68496158,16073,99,1,0,0,0,0,0
1319,UMNO,ASHA'ARI IDRIS,6682,2551,2008,Terengganu,LANGKAP,034-007,Menang,10813,61.79598631,13066,99,0,0,0,0,0,0
1320,PAS,TENGKU AHMAD TENGKU HUSSAIN,4131,0,2008,Terengganu,LANGKAP,034-007,Kalah,10813,38.20401369,13066,99,0,0,0,0,0,0
1321,UMNO,KHAZAN CHE MAT,5590,1486,2008,Terengganu,BATU RAKIT,034-008,Menang,9694,57.66453476,11311,99,0,0,0,0,0,0
1322,PAS,SAMSHUDIN ABDUL WAHAB,4104,0,2008,Terengganu,BATU RAKIT,034-008,Kalah,9694,42.33546524,11311,99,0,0,0,0,0,0
1323,UMNO,MUHAMMAD RAMLI NUH,8455,430,2008,Terengganu,TEPUH,035-009,Menang,16480,51.30461165,19850,99,1,0,0,0,0,0
1324,PAS,ABU BAKAR ABDULLAH,8025,0,2008,Terengganu,TEPUH,035-009,Kalah,16480,48.69538835,19850,99,1,0,0,0,0,0
1325,UMNO,DATUK ABDUL RAHIN MOHAMED SAID,7279,462,2008,Terengganu,TELUK PASU,035-010,Menang,14096,51.63876277,16126,98,1,0,0,0,0,0
1326,PAS,RIDZUAN HASHIM,6817,0,2008,Terengganu,TELUK PASU,035-010,Kalah,14096,48.36123723,16126,98,1,0,0,0,0,0
1327,UMNO,AHMAD RAZIF ABD RAHMAN,6440,2430,2008,Terengganu,SEBERANG TAKIR,035-011,Menang,10450,61.62679426,12750,99,0,0,0,0,0,0
1328,PKR,MUZAFEQ AFFYULZAIFUZAN MAMAT @ MUHAMMAD,4010,0,2008,Terengganu,SEBERANG TAKIR,035-011,Kalah,10450,38.37320574,12750,99,0,0,0,0,0,0
1329,PAS,DR ALIAS RAZAK,5483,336,2008,Terengganu,BUKIT TUNGGAL,035-012,Menang,10630,51.58043274,12488,98,1,0,0,0,0,0
1330,UMNO,TUAN ARIF SAHIBU FADILAH TUAN AHMAD,5147,0,2008,Terengganu,BUKIT TUNGGAL,035-012,Kalah,10630,48.41956726,12488,98,1,0,0,0,0,0
1331,PAS,MOHD ABDUL WAHID ENDUT,9645,2193,2008,Terengganu,WAKAF MEMPELAM,036-013,Menang,17097,56.41340586,20573,99,0,0,0,0,0,0
1332,UMNO,OTHMAN AWANG,7452,0,2008,Terengganu,WAKAF MEMPELAM,036-013,Kalah,17097,43.58659414,20573,99,0,0,0,0,0,0
1333,MCA,TOH CHIN YAW,7831,1142,2008,Terengganu,BANDAR,036-014,Menang,14520,53.93250689,18953,60,37,1,0,0,0,0
1334,PKR,ABDUL MANAF CHE MAT,6689,0,2008,Terengganu,BANDAR,036-014,Kalah,14520,46.06749311,18953,60,37,1,0,0,0,0
1335,PAS,DATUK TENGKU HASSAN TENGKU OMAR,6723,31,2008,Terengganu,LADANG,036-015,Menang,13415,50.1155423,16777,98,7,1,0,0,0,0
1336,UMNO,DATUK WAN HISHAM WAN SALLEH,6692,0,2008,Terengganu,LADANG,036-015,Kalah,13415,49.8844577,16777,98,7,1,0,0,0,0
1337,PAS,DR SYED AZMAN SYED AHMAD NAWAWI,10672,1161,2008,Terengganu,BATU BURUK,036-016,Menang,20183,52.87618293,24022,98,1,0,0,0,0,0
1338,UMNO,SENATOR NORDIANA SHAFIE,9511,0,2008,Terengganu,BATU BURUK,036-016,Kalah,20183,47.12381707,24022,98,1,0,0,0,0,0
1339,UMNO,ALIAS ABDULLAH,8735,799,2008,Terengganu,ALUR LIMBAT,037-017,Menang,16671,52.39637694,19694,96,3,0,0,0,0,0
1340,PAS,DATUK MUSTAFA ALI,7936,0,2008,Terengganu,ALUR LIMBAT,037-017,Kalah,16671,47.60362306,19694,96,3,0,0,0,0,0
1341,PAS,MOHD NOR HAMZAH,7324,115,2008,Terengganu,BUKIT PAYUNG,037-018,Menang,14533,50.39565128,16733,99,0,0,0,0,0,0
1342,UMNO,ZAIDI MUDA,7209,0,2008,Terengganu,BUKIT PAYUNG,037-018,Kalah,14533,49.60434872,16733,99,0,0,0,0,0,0
1343,PAS,DATUK SERI ABDUL HADI AWANG,9379,2686,2008,Terengganu,RU RENDANG,037-019,Menang,16072,58.35614734,18798,99,1,0,0,0,0,0
1344,UMNO,RAZALI IDRIS,6693,0,2008,Terengganu,RU RENDANG,037-019,Kalah,16072,41.64385266,18798,99,1,0,0,0,0,0
1345,UMNO,YAHYA KHATIB MOHAMAD,8900,930,2008,Terengganu,PENGKALAN BERANGAN,037-020,Menang,16870,52.75637226,19588,95,4,0,0,0,0,0
1346,PAS,MOHD DERAMAN,7970,0,2008,Terengganu,PENGKALAN BERANGAN,037-020,Kalah,16870,47.24362774,19588,95,4,0,0,0,0,0
1347,UMNO,ROZI MAMAT,8619,5893,2008,Terengganu,TELEMUNG,038-021,Menang,11345,75.97179374,13275,99,0,0,0,0,0,0
1348,PKR,ENGKU ABU BAKAR ENGKU MOHD,2726,0,2008,Terengganu,TELEMUNG,038-021,Kalah,11345,24.02820626,13275,99,0,0,0,0,0,0
1349,PAS,DATUK HARUN TAIB,5323,406,2008,Terengganu,MANIR,038-022,Menang,10240,51.98242188,11657,99,0,0,0,0,0,0
1350,UMNO,WAN SAGAR WAN EMBONG,4917,0,2008,Terengganu,MANIR,038-022,Kalah,10240,48.01757813,11657,99,0,0,0,0,0,0
1351,UMNO,MOHD ZAWAWI ISMAIL,6444,1592,2008,Terengganu,KUALA BERANG,038-023,Menang,11296,57.04674221,13040,98,1,0,0,0,0,0
1352,PAS,MUHYIDDIN ABDUL RASHID,4852,0,2008,Terengganu,KUALA BERANG,038-023,Kalah,11296,42.95325779,13040,98,1,0,0,0,0,0
1353,UMNO,DATUK ROSOL WAHID,8530,4727,2008,Terengganu,AJIL,038-024,Menang,12333,69.16403146,14543,99,1,0,0,0,0,0
1354,PAS,MOHD RAZKI ALIAS,3803,0,2008,Terengganu,AJIL,038-024,Kalah,12333,30.83596854,14543,99,1,0,0,0,0,0
1355,UMNO,DATUK DIN ADAM,6037,2492,2008,Terengganu,BUKIT BESI,039-025,Menang,9582,63.00354832,11520,99,0,0,0,0,0,0
1356,PAS,NORDIN OTHMAN,3545,0,2008,Terengganu,BUKIT BESI,039-025,Kalah,9582,36.99645168,11520,99,0,0,0,0,0,0
1357,UMNO,ZA'ABAR MOHAMED ADIB,7372,790,2008,Terengganu,RANTAU ABANG,039-026,Menang,13954,52.83072954,16499,99,1,0,0,0,0,0
1358,PAS,AZMAN SHAPAWI ABDUL RANI,6582,0,2008,Terengganu,RANTAU ABANG,039-026,Kalah,13954,47.16927046,16499,99,1,0,0,0,0,0
1359,PAS,WAN HASSAN MOHD RAMLI,7000,1000,2008,Terengganu,SURA,039-027,Menang,13000,53.84615385,16123,89,9,1,0,0,0,0
1360,UMNO,MOHD ROSLI HARUN,6000,0,2008,Terengganu,SURA,039-027,Kalah,13000,46.15384615,16123,89,9,1,0,0,0,0
1361,UMNO,ZAKARIA @ ARIFFIN ABDULLAH,8806,344,2008,Terengganu,PAKA,039-028,Menang,17268,50.99606208,20709,95,5,0,0,0,0,0
1362,PAS,SATIFUL BAHARI MAMAT,8462,0,2008,Terengganu,PAKA,039-028,Kalah,17268,49.00393792,20709,95,5,0,0,0,0,0
1363,UMNO,ROSLI OTHMAN,7475,2118,2008,Terengganu,KEMASEK,040-029,Menang,12832,58.25280549,15470,94,5,0,0,0,0,0
1364,PAS,MOHAMAD MAHADI NAWI,5357,0,2008,Terengganu,KEMASEK,040-029,Kalah,12832,41.74719451,15470,94,5,0,0,0,0,0
1365,UMNO,DATUK AHMAD SAID,8169,3157,2008,Terengganu,KIJAL,040-030,Menang,13181,61.9755709,15568,97,2,0,0,0,0,0
1366,PAS,HAZLI JUSOH,5012,0,2008,Terengganu,KIJAL,040-030,Kalah,13181,38.0244291,15568,97,2,0,0,0,0,0
1367,UMNO,DATUK MOHAMAD AWANG TERA,9541,769,2008,Terengganu,CHUKAI,040-031,Menang,18313,52.09960138,22877,83,15,1,0,0,0,0
1368,PAS,HANAFIAH MAT,8772,0,2008,Terengganu,CHUKAI,040-031,Kalah,18313,47.90039862,22877,83,15,1,0,0,0,0
1369,UMNO,WAN ABDUL HAKIM WAN MOKHTAR,10771,3821,2008,Terengganu,AIR PUTIH,040-032,Menang,17721,60.7809943,21091,95,3,1,1,0,0,0
1370,PAS,ISMAIL HARUN,6950,0,2008,Terengganu,AIR PUTIH,040-032,Kalah,17721,39.2190057,21091,95,3,1,1,0,0,0
1371,UMNO,DATUK AZHAR IBRAHIM,6685,1231,2008,Penang,PENAGA,041-001,Menang,12139,55.07043414,14268,89,10,0,0,0,0,0
1372,PAS,TAPIUDIN HAMZAH,5454,0,2008,Penang,PENAGA,041-001,Kalah,12139,44.92956586,14268,89,10,0,0,0,0,0
1373,UMNO,ZABARIAH ABDUL WAHAB,6794,2652,2008,Penang,BERTAM,041-002,Menang,10936,62.12509144,13660,65,26,10,0,0,0,0
1374,PKR,NOORSIAH MD ARSHAD,4142,0,2008,Penang,BERTAM,041-002,Kalah,10936,37.87490856,13660,65,26,10,0,0,0,0
1375,UMNO,DATUK ROSLAN SAIDIN,7848,3235,2008,Penang,PINANG TUNGGAL,041-003,Menang,12461,62.98049916,15091,70,25,4,0,0,0,0
1376,PKR,MOHD HASHIM,4613,0,2008,Penang,PINANG TUNGGAL,041-003,Kalah,12461,37.01950084,15091,70,25,4,0,0,0,0
1377,UMNO,SHAHBUDIN YAHYA,7295,1985,2008,Penang,PERMATANG BERANGAN,042-004,Menang,12605,57.87385958,15174,80,9,10,0,0,0,0
1378,PAS,ARSHAD MD SALLEH,5310,0,2008,Penang,PERMATANG BERANGAN,042-004,Kalah,12605,42.12614042,15174,80,9,10,0,0,0,0
1379,UMNO,DATUK JASMIN MOHAMED,6421,535,2008,Penang,SUNGAI DUA,042-005,Menang,12307,52.17355976,14721,84,13,2,1,0,0,0
1380,PAS,MOHD SALLEH MAN,5886,0,2008,Penang,SUNGAI DUA,042-005,Kalah,12307,47.82644024,14721,84,13,2,1,0,0,0
1381,UMNO,DATUK JAHARA HAMID,6478,1470,2008,Penang,TELOK AYER TAWAR,042-006,Menang,11486,56.39909455,12509,65,23,11,1,0,0,0
1382,PKR,NORHAYATI JAAFAR,5008,0,2008,Penang,TELOK AYER TAWAR,042-006,Kalah,11486,43.60090545,12509,65,23,11,1,0,0,0
1383,DAP,PHEE BOON POH,13025,9201,2008,Penang,SUNGAI PUYU,043-007,Menang,16849,77.30429106,20708,5,88,7,0,0,0,0
1384,MCA,TAY LAY CHENG,3824,0,2008,Penang,SUNGAI PUYU,043-007,Kalah,16849,22.69570894,20708,5,88,7,0,0,0,0
1385,DAP,LIM HOCK SENG,11099,5873,2008,Penang,BAGAN JERMAL,043-008,Menang,16325,67.98774885,21483,18,67,13,0,0,0,0
1386,MCA,OOI CHUAN AIK,5226,0,2008,Penang,BAGAN JERMAL,043-008,Kalah,16325,32.01225115,21483,18,67,13,0,0,0,0
1387,DAP,TANASEKHARAN A/L AUDHERAPADY,7601,2932,2008,Penang,BAGAN DALAM,043-009,Menang,12270,61.94784026,17194,24,53,22,1,0,0,0
1388,MIC,PK SUBBAIYAH,4669,0,2008,Penang,BAGAN DALAM,043-009,Kalah,12270,38.05215974,17194,24,53,22,1,0,0,0
1389,UMNO,DATUK ARIF OMAR SHAH,9395,533,2008,Penang,SEBERANG JAYA,044-010,Menang,18257,51.45971408,22171,63,24,12,0,0,0,0
1390,PKR,RAMLI BULAT,8862,0,2008,Penang,SEBERANG JAYA,044-010,Kalah,18257,48.54028592,22171,63,24,12,0,0,0,0
1391,PAS,MOHD HAMDAN ABDUL RAHMAN,11004,5433,2008,Penang,PERMATANG PASIR,044-011,Menang,16575,66.38914027,20350,72,26,1,0,0,0,0
1392,UMNO,AHMAD SAHAR SHUIB,5571,0,2008,Penang,PERMATANG PASIR,044-011,Kalah,16575,33.61085973,20350,72,26,1,0,0,0,0
1393,PKR,MOHAMMAD FAIRUS KHAIRUDDIN,7346,2219,2008,Penang,PENANTI,044-012,Menang,12473,58.89521366,15421,73,24,2,0,0,0,0
1394,UMNO,DATUK ABDUL JALIL ABDUL MAJID,5127,0,2008,Penang,PENANTI,044-012,Kalah,12473,41.10478634,15421,73,24,2,0,0,0,0
1395,DAP,ONG KOK FOOI,10006,4692,2008,Penang,BERAPIT,045-013,Menang,15320,65.31331593,19895,6,86,9,0,0,0,0
1396,MCA,LAU CHIEK TUAN,5314,0,2008,Penang,BERAPIT,045-013,Kalah,15320,34.68668407,19895,6,86,9,0,0,0,0
1397,PKR,TAN HOCK LEONG,11002,4080,2008,Penang,MACHANG BUBOK,045-014,Menang,17924,61.38138808,22424,39,52,9,0,0,0,0
1398,GERAKAN,DATUK LEE KAH CHOON,6922,0,2008,Penang,MACHANG BUBOK,045-014,Kalah,17924,38.61861192,22424,39,52,9,0,0,0,0
1399,DAP,TAN CHEONG HENG,10520,4241,2008,Penang,PADANG LALANG,045-015,Menang,16799,62.62277517,21761,9,84,6,0,0,0,0
1400,MCA,TAN TEIK CHENG,6279,0,2008,Penang,PADANG LALANG,045-015,Kalah,16799,37.37722483,21761,9,84,6,0,0,0,0
1401,DAP,DR P RAMASAMY,7668,5176,2008,Penang,PERAI,046-016,Menang,10471,73.230828,14124,12,52,36,1,0,0,0
1402,MIC,L KRISHNAN,2492,0,2008,Penang,PERAI,046-016,Kalah,10471,23.79906408,14124,12,52,36,1,0,0,0
1403,IND,ULAGANATHAN A/L KAP RAMASAMY,311,0,2008,Penang,PERAI,046-016,Kalah,10471,2.970107917,14124,12,52,36,1,0,0,0
1404,PKR,ONG  WIN CHEN,6736,1904,2008,Penang,BUKIT TENGAH,046-017,Menang,11568,58.22959889,14995,38,44,18,0,0,0,0
1405,GERAKAN,NG SIEW LAI,4832,0,2008,Penang,BUKIT TENGAH,046-017,Kalah,11568,41.77040111,14995,38,44,18,0,0,0,0
1406,PKR,LAW CHOO KIANG,9855,5129,2008,Penang,BUKIT TAMBUN,046-018,Menang,14581,67.58795693,18208,14,70,16,0,0,0,0
1407,GERAKAN,HUAN CHENG GUAN,4726,0,2008,Penang,BUKIT TAMBUN,046-018,Kalah,14581,32.41204307,18208,14,70,16,0,0,0,0
1408,DAP,TAN BENG HUAT,9739,3790,2008,Penang,JAWI,047-019,Menang,15688,62.07929628,20167,22,58,20,0,0,0,0
1409,MCA,TAN CHENG LIANG,5949,0,2008,Penang,JAWI,047-019,Kalah,15688,37.92070372,20167,22,58,20,0,0,0,0
1410,PKR,MAKTAR HJ SHAPEE,6976,2067,2008,Penang,SUNGAI BAKAP,047-020,Menang,11885,58.69583509,15026,58,24,7,0,0,0,0
1411,UMNO,DATUK SERI ABDUL RASHID ABDULLAH,4909,0,2008,Penang,SUNGAI BAKAP,047-020,Kalah,11885,41.30416491,15026,58,24,7,0,0,0,0
1412,UMNO,DATUK MAHMUD ZAKARIA,5011,250,2008,Penang,SUNGAI ACHEH,047-021,Menang,9772,51.27916496,12347,69,24,7,0,0,0,0
1413,PKR,DR AZHAR AHAMAD,4761,0,2008,Penang,SUNGAI ACHEH,047-021,Kalah,9772,48.72083504,12347,69,24,7,0,0,0,0
1414,DAP,TEH YEE CHEU,7021,1935,2008,Penang,TANJONG BUNGA,048-022,Menang,12107,57.99124473,16910,27,63,11,0,0,0,0
1415,GERAKAN,CHIA LOONG THYE,5086,0,2008,Penang,TANJONG BUNGA,048-022,Kalah,12107,42.00875527,16910,27,63,11,0,0,0,0
1416,DAP,LIM GUAN ENG,6601,4061,2008,Penang,AIR PUTIH,048-023,Menang,9141,72.21310579,12454,10,83,7,0,0,0,0
1417,MCA,TAN YOK CHENG,2540,0,2008,Penang,AIR PUTIH,048-023,Kalah,9141,27.78689421,12454,10,83,7,0,0,0,0
1418,PKR,ONG KHAN LEE,8307,3125,2008,Penang,KEBUN BUNGA,048-024,Menang,13489,61.58351249,18458,9,78,14,0,0,0,0
1419,GERAKAN,QUAH KOOI HEONG,5182,0,2008,Penang,KEBUN BUNGA,048-024,Kalah,13489,38.41648751,18458,9,78,14,0,0,0,0
1420,DAP,KOAY TENG HAI,6649,1714,2008,Penang,PULAU TIKUS,048-025,Menang,11584,57.39813536,16723,14,79,7,0,0,0,0
1421,GERAKAN,DATUK DR TENG HOCK NAN,4935,0,2008,Penang,PULAU TIKUS,048-025,Kalah,11584,42.60186464,16723,14,79,7,0,0,0,0
1422,DAP,CHOW KON YEOW,6449,1661,2008,Penang,PADANG KOTA,049-026,Menang,11237,57.39076266,16704,13,79,9,0,0,0,0
1423,GERAKAN,TENG CHANG YEOW,4788,0,2008,Penang,PADANG KOTA,049-026,Kalah,11237,42.60923734,16704,13,79,9,0,0,0,0
1424,DAP,LAU KENG EE,10185,5477,2008,Penang,PENGKALAN KOTA,049-027,Menang,14893,68.38783321,19508,1,95,4,0,0,0,0
