,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
42,JOHOR,N. 16 - SUNGAI BALANG,NA'IM BIN JUSRI,PKR,7848,,P.146 - MUAR,SUNGAI BALANG,19016,
43,JOHOR,N. 16 - SUNGAI BALANG,CHEMAN BIN YUSOH ,PAS,3146,,P.146 - MUAR,SUNGAI BALANG,19016,
44,JOHOR,N. 17 - SEMERAH,MOHD ISMAIL BIN ROSLAN,BN,12521,,P.147 - PARIT SULONG,SEMERAH,29454,
45,JOHOR,N. 17 - SEMERAH,ADNAN BIN OTHMAN,PAS,4314,,P.147 - PARIT SULONG,SEMERAH,29454,
46,JOHOR,N. 17 - SEMERAH,MOHD KHUZZAN BIN ABU BAKAR,PKR,12619,MENANG,P.147 - PARIT SULONG,SEMERAH,29454,
47,JOHOR,N. 18 - SRI MEDAN,ZULKURNAIN BIN KAMISAN,BN,11587,MENANG,P.147 - PARIT SULONG,SRI MEDAN,20372,
48,JOHOR,N. 18 - SRI MEDAN,SALLEHUDIN BIN AB. RASID,PAS,3238,,P.147 - PARIT SULONG,SRI MEDAN,20372,
49,JOHOR,N. 18 - SRI MEDAN,MOHD AJIB BIN OMAR,PKR,5547,,P.147 - PARIT SULONG,SRI MEDAN,20372,
50,JOHOR,N. 19 - YONG PENG,LING TIAN SOON,BN,7218,,P.148 - AYER HITAM,YONG PENG,20768,
51,JOHOR,N. 19 - YONG PENG,MUHAMMAD BIN ABDULLAH,PAS,1243,HILANG DEPOSIT,P.148 - AYER HITAM,YONG PENG,20768,
52,JOHOR,N. 19 - YONG PENG,CHEW PECK CHOO,PKR,12307,MENANG,P.148 - AYER HITAM,YONG PENG,20768,
53,JOHOR,N. 20 - SEMARANG,SAMSOLBARI BIN JAMALI,BN,10751,MENANG,P.148 - AYER HITAM,SEMARANG,18083,
54,JOHOR,N. 20 - SEMARANG,MOHD BAKRI BIN SAMIAN,PAS,2423,,P.148 - AYER HITAM,SEMARANG,18083,
55,JOHOR,N. 20 - SEMARANG,ZAIS BIN MOHD AKIL ,PKR,4909,,P.148 - AYER HITAM,SEMARANG,18083,
56,JOHOR,N. 21 - PARIT YAANI,SOH LIP YAN ,BN,7475,,P.149 - SRI GADING,PARIT YAANI,22727,
57,JOHOR,N. 21 - PARIT YAANI,AMINOLHUDA BIN HASSAN,PKR,12309,MENANG,P.149 - SRI GADING,PARIT YAANI,22727,
58,JOHOR,N. 21 - PARIT YAANI,NASIR BIN ABDULLAH,PAS,2943,,P.149 - SRI GADING,PARIT YAANI,22727,
59,JOHOR,N. 22 - PARIT RAJA,NOR RASHIDAH BINTI RAMLI,BN,9549,MENANG,P.149 - SRI GADING,PARIT RAJA,21566,
60,JOHOR,N. 22 - PARIT RAJA,FERDAUS BIN KAYAU,PKR,8911,,P.149 - SRI GADING,PARIT RAJA,21566,
61,JOHOR,N. 22 - PARIT RAJA,ABDUL HADI BIN HARUN,PAS,3106,,P.149 - SRI GADING,PARIT RAJA,21566,
62,JOHOR,N. 23 - PENGGARAM,KANG BENG KUAN,BN,9620,,P.150 - BATU PAHAT,PENGGARAM,41630,
63,JOHOR,N. 23 - PENGGARAM,MISRAN BIN SAMIAN ,PAS,5185,HILANG DEPOSIT,P.150 - BATU PAHAT,PENGGARAM,41630,
64,JOHOR,N. 23 - PENGGARAM,GAN PECK CHENG,PKR,26825,MENANG,P.150 - BATU PAHAT,PENGGARAM,41630,
65,JOHOR,N. 24 - SENGGARANG,ZAIDI BIN JAPAR,BN,9759,,P.150 - BATU PAHAT,SENGGARANG,23026,
66,JOHOR,N. 24 - SENGGARANG,KHAIRUDDIN BIN A RAHIM,PKR,10568,MENANG,P.150 - BATU PAHAT,SENGGARANG,23026,
67,JOHOR,N. 24 - SENGGARANG,MOHD RAMLI BIN MD KARI,PAS,2699,HILANG DEPOSIT,P.150 - BATU PAHAT,SENGGARANG,23026,
68,JOHOR,N. 25 - RENGIT,AYUB BIN JAMIL ,BN,9642,MENANG,P.150 - BATU PAHAT,RENGIT,17425,
69,JOHOR,N. 25 - RENGIT,MALIK FAISHAL BIN AHMAD ,PKR,5470,,P.150 - BATU PAHAT,RENGIT,17425,
70,JOHOR,N. 25 - RENGIT,MOHD TUKIRAN @ MOHD TUMIRAN BIN AHMAD,PAS,2313,,P.150 - BATU PAHAT,RENGIT,17425,
71,JOHOR,N. 26 - MACHAP,ABD TAIB BIN ABU BAKAR,BN,9375,MENANG,P.151 - SIMPANG RENGGAM,MACHAP,19976,
72,JOHOR,N. 26 - MACHAP,AHMAD BIN AHEM,PKR,8971,,P.151 - SIMPANG RENGGAM,MACHAP,19976,
73,JOHOR,N. 26 - MACHAP,AZLISHAM BIN AZAHAR,PAS,1630,HILANG DEPOSIT,P.151 - SIMPANG RENGGAM,MACHAP,19976,
74,JOHOR,N. 27 - LAYANG-LAYANG,ONN HAFIZ BIN GHAZI,BN,7449,MENANG,P.151 - SIMPANG RENGGAM,LAYANG,15873,
75,JOHOR,N. 27 - LAYANG-LAYANG,MURUGAN A/L MUTHU SAMY,PKR,7085,,P.151 - SIMPANG RENGGAM,LAYANG,15873,
76,JOHOR,N. 27 - LAYANG-LAYANG,MOHD JUBRI BIN SELAMAT,PAS,1339,HILANG DEPOSIT,P.151 - SIMPANG RENGGAM,LAYANG,15873,
77,JOHOR,N. 28 - MENGKIBOL,CHIN SIM LAI ,BN,10333,,P.152 - KLUANG,MENGKIBOL,39892,
